City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,paratinga,-12.6906,-43.1842,75.6,52,0,6.49,BR,1689560092
1,kyzyl,51.7,94.45,69.78,52,13,0.63,RU,1689560092
2,port-aux-francais,-49.35,70.2167,35.65,55,84,8.21,TF,1689560058
3,villanueva,15.3167,-88.0,83.39,79,20,9.22,HN,1689560093
4,tobelo,1.7284,128.0095,78.82,84,100,2.93,ID,1689560093
5,imbituba,-28.24,-48.6703,58.91,84,100,7.02,BR,1689560093
6,fuerte olimpo,-21.0415,-57.8738,70.38,47,100,6.4,PY,1689560093
7,tolanaro,-25.0319,46.9987,63.82,80,7,6.04,MG,1689560094
8,avarua,-21.2078,-159.775,73.45,64,100,5.75,CK,1689560094
9,edinburgh of the seven seas,-37.0676,-12.3116,55.51,69,1,27.6,SH,1689560094
10,el abiodh sidi cheikh,32.893,0.5484,78.15,11,0,6.58,DZ,1689560094
11,meadow lakes,61.6247,-149.6011,58.73,91,100,3.44,US,1689560094
12,shakhtinsk,49.71,72.5872,75.85,34,19,3.42,KZ,1689560095
13,ust-nera,64.5667,143.2,60.84,43,100,7.38,RU,1689560095
14,waitangi,-43.9535,-176.5597,51.82,81,99,5.99,NZ,1689560095
15,alpine,32.835,-116.7664,91.67,53,0,5.75,US,1689560095
16,dryden,49.7833,-92.7503,57.49,88,100,8.05,CA,1689560024
17,isafjordur,66.0755,-23.124,45.82,67,15,3.6,IS,1689560096
18,tiksi,71.6872,128.8694,45.84,86,100,10.6,RU,1689560059
19,puerto natales,-51.7236,-72.4875,30.34,91,97,4.99,CL,1689560056
20,namibe,-15.1961,12.1522,68.05,63,0,3.76,AO,1689560096
21,hajin,34.6927,40.827,86.31,20,0,11.61,SY,1689560096
22,port lincoln,-34.7333,135.8667,54.81,53,0,8.88,AU,1689559992
23,grytviken,-54.2811,-36.5092,21.76,87,84,3.38,GS,1689560097
24,egilsstadir,65.2653,-14.3948,44.51,87,75,2.3,IS,1689560074
25,tarrafal,15.2833,-23.7667,81.39,85,53,8.75,CV,1689560097
26,west island,-12.1568,96.8225,78.78,65,100,13.8,CC,1689560097
27,stanley,54.868,-1.6985,52.72,87,0,9.22,GB,1689559949
28,adamstown,-25.066,-130.1015,69.71,80,100,6.15,PN,1689560098
29,fort bragg,35.139,-79.006,81.95,80,0,0.0,US,1689560098
30,kangding,30.0513,101.9603,66.0,51,5,4.92,CN,1689560098
31,vila velha,-20.3297,-40.2925,69.75,87,0,5.75,BR,1689560098
32,dolores,-36.3132,-57.6792,38.05,75,8,7.56,AR,1689560099
33,ilulissat,69.2167,-51.1,41.02,93,100,4.61,GL,1689560065
34,crane,31.3974,-102.3501,93.09,22,0,16.55,US,1689560100
35,blackmans bay,-43.0167,147.3167,59.74,58,9,9.64,AU,1689560100
36,whangarei,-35.7317,174.3239,59.81,64,0,9.44,NZ,1689560100
37,lagos,6.5833,3.75,75.51,93,100,4.68,NG,1689559816
38,hermanus,-34.4187,19.2345,57.24,80,100,7.38,ZA,1689560098
39,hawaiian paradise park,19.5933,-154.9731,81.73,75,100,6.91,US,1689560075
40,minab,27.1467,57.0801,91.2,56,1,1.74,IR,1689560101
41,talnakh,69.4865,88.3972,47.21,66,81,9.1,RU,1689560025
42,ribeira grande,38.5167,-28.7,64.78,84,19,5.99,PT,1689560102
43,port saint john's,-31.6229,29.5448,61.05,57,41,6.67,ZA,1689560103
44,bethel,41.3712,-73.414,75.88,89,100,3.0,US,1689560103
45,lotoshino,56.2267,35.6414,56.5,86,18,1.77,RU,1689560104
46,happy valley-goose bay,53.3168,-60.3315,75.51,69,75,9.22,CA,1689560105
47,aasiaat,68.7098,-52.8699,36.7,95,100,5.57,GL,1689560105
48,hun,29.1268,15.9477,79.3,43,0,7.56,LY,1689560105
49,toyooka,35.5333,134.8333,93.25,58,20,3.44,JP,1689560106
50,brasilia de minas,-16.2064,-44.4333,72.48,48,83,8.23,BR,1689559874
51,utrik,11.2278,169.8474,82.36,80,73,15.64,MH,1689560106
52,inari,68.906,27.0288,62.8,73,100,11.01,FI,1689560107
53,sitka,57.0531,-135.33,57.09,94,100,8.05,US,1689560107
54,port elizabeth,-33.918,25.5701,46.69,100,21,3.44,ZA,1689560065
55,bei'an,24.5399,109.533,85.24,64,96,14.72,CN,1689560107
56,iqaluit,63.7506,-68.5145,44.33,93,100,4.61,CA,1689560108
57,st. john's,47.5649,-52.7093,68.27,93,100,12.66,CA,1689560108
58,san antonio de pale,-1.4014,5.6325,73.04,82,34,13.51,GQ,1689560108
59,kyzylorda,44.8528,65.5092,78.82,34,0,6.71,KZ,1689560109
60,labytnangi,66.6572,66.4183,66.07,65,100,8.1,RU,1689560109
61,bredasdorp,-34.5322,20.0403,54.77,78,100,6.31,ZA,1689560109
62,leua,48.2156,18.6071,76.5,75,38,4.63,SK,1689560080
63,kruisfontein,-34.0033,24.7314,54.0,62,45,3.83,ZA,1689560110
64,selfoss,63.9331,-20.9971,46.85,72,18,10.13,IS,1689560110
65,linxia chengguanzhen,35.6003,103.2064,71.08,48,85,2.37,CN,1689559965
66,erenhot,43.6475,111.9767,83.79,21,41,11.63,CN,1689560110
